kstar_1,kstar_2,mass_1,mass_2,porb,ecc,metallicity,tphysf,mass0_1,mass0_2,rad_1,rad_2,lum_1,lum_2,massc_1,massc_2,radc_1,radc_2,menv_1,menv_2,renv_1,renv_2,omega_spin_1,omega_spin_2,B_1,B_2,bacc_1,bacc_2,tacc_1,tacc_2,epoch_1,epoch_2,tms_1,tms_2,bhspin_1,bhspin_2,tphys,binfrac
0.0,0.0,0.20978215139920475,0.16751785637483413,41713.76387308808,0.5310269334644798,0.0002,13700.0,0.20978215139920475,0.16751785637483413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16894928488446875
1.0,1.0,3.7289184856132023,2.0705621598072925,2.5403653041044936,0.007568694120126018,0.0002,13700.0,3.7289184856132023,2.0705621598072925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6146916774140264
1.0,0.0,1.0355473249721403,0.6045141808000095,1422588.9784036204,0.7157122852130171,0.0002,13700.0,1.0355473249721403,0.6045141808000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40871631172675027
1.0,0.0,0.8124121081124537,0.48969275377395494,1736762.9282290228,0.4156335929243881,0.0002,13700.0,0.8124121081124537,0.48969275377395494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40352983381686514
0.0,0.0,0.14365701755169955,0.12515146235866734,2585606.098722778,0.3822887016645284,0.0002,13700.0,0.14365701755169955,0.12515146235866734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10259215740455017
1.0,0.0,1.4714344378016435,0.15826842410886985,541561.2468095794,0.411398712218161,0.0002,13700.0,1.4714344378016435,0.15826842410886985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44217588385976925
0.0,0.0,0.2228017362814688,0.14827443883683653,588428.1697464426,0.1919322589064796,0.0002,13700.0,0.2228017362814688,0.14827443883683653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17950160456057096
0.0,0.0,0.41557559935096183,0.11110564085713479,434212.0624511888,0.4181164535501244,0.0002,13700.0,0.41557559935096183,0.11110564085713479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28874982923587134
1.0,1.0,1.0838821250165975,0.796959445913328,251591.6698097277,0.6531265715146383,0.0002,13700.0,1.0838821250165975,0.796959445913328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41003413174077363
0.0,0.0,0.5073759263646385,0.11527494626953695,4581.266688779734,0.517785833776799,0.0002,13700.0,0.5073759263646385,0.11527494626953695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32372772153010376
